ID,Name,DisplayName,Description,Quality,MaxStackCount,DefaultStackCount,PriceEach,Category
0,"Character","躯壳","灵魂的载体。",999,1,1,0,"Character"
1,"0_MeleeWeapon_Template","切肉刀","看起来很粗犷的刀，不是很锋利。",9,1,1,17501,"Weapon"
2,"ArmorLV3","三级防弹衣","三级防弹衣，在某些时候能够保住你的小命。",3,1,1,1775,"Armor"
3,"Gem","金色五角星","神秘物质构成的金色五角星。增加近战武器攻击力。",4,1,1,4587,"Gem"
4,"1_Rifle-A_template","GunTemplate","?",9,1,1,37500,"Weapon"
8,"BatteryR6","R6电池","在各种用电器中被广泛使用的电池。",1,5,1,194,"Electric"
10,"Bandage","止血绷带","可以止血,并回复微少生命值。",1,3,3,80,"Medic"
11,"BatteryPP3","PP3电池","通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。",2,3,1,323,"Electric"
12,"BeanCan","焗豆罐头","焗豆罐头。",2,3,1,102,"Food"
13,"Biscuit","苏打饼干","一摞苏打饼干。",1,3,1,51,"Food"
14,"Cola","可乐","有糖的可乐才有灵魂。",4,1,1,1995,"Food"
15,"FirstAidKit_L","大急救箱","可以恢复大量生命值。",4,1,1,1322,"Medic"
16,"FirstAidKit_M","急救箱","可以恢复生命值。",3,1,1,807,"Medic"
17,"FirstAidKit_S","小急救箱","可以恢复少量生命值。",2,1,1,206,"Medic"
18,"TunaCan_1","水浸金枪鱼罐头","水浸金枪鱼罐头。",2,3,1,172,"Food"
19,"TunaCan_2","油浸金枪鱼罐头","油浸金枪鱼罐头。",3,3,1,376,"Food"
20,"Aspirin","阿司匹林","小剂量药品，回复血量，并提供镇痛效果。",1,3,3,32,"Medic"
21,"Bleach","漂白剂","一壶漂白剂。",1,1,1,139,"Daily"
22,"Cigarette","红条香烟","一盒普通的香烟。",2,3,1,105,"Food"
23,"Dynamite","管状炸弹","一颗管状炸弹。",1,1,1,140,"Explosive"
24,"DynamiteMultiple","集束管状炸弹","一束管状炸弹。",5,1,1,302,"Explosive"
25,"Flashlight","手电","一只手电筒。",3,1,1,560,"Tool"
26,"GasMask_01","防毒面具","普通的防毒面具。",3,1,1,535,"FaceMask"
27,"Goggle","滑雪镜","滑雪眼镜。",1,1,1,125,"FaceMask"
28,"Nail","钉子","钉子。",1,10,1,149,"Tool"
29,"Vodka","伏特加","喝了会开心,然后脱水。",3,1,1,902,"Food"
30,"WD40","MD40","一瓶MD40除锈剂。",3,1,1,216,"Tool"
31,"Wrench","扳手","一个扳手。",2,1,1,257,"Tool"
32,"ArmorLV1","一级防弹衣","比纸还薄，能挡一发水弹枪。",1,1,1,285,"Armor"
33,"ArmorLV2","二级防弹衣","看起来很专业，能够提供心理层面的鼓励。",2,1,1,784,"Armor"
34,"ArmorLV4","四级防弹衣","有真正的防弹性能，可靠之选。",4,1,1,3316,"Armor"
35,"ArmorLV5","五级防弹衣","提供终极的防护，子弹打在身上就像洒洒水。",5,1,1,5827,"Armor"
36,"BackpackLV1","装饰包","也就能装点口红化妆品啥的。",1,1,1,87,"Backpack"
37,"BackpackLV2","小学背包","能装很多的作业本。",2,1,1,338,"Backpack"
38,"BackpackLV3","旅行包","多功能用途背包，旅行首选。",3,1,1,995,"Backpack"
39,"BackpackLV4","生存者背包","杀哥联名，户外生存必备。",4,1,1,2385,"Backpack"
40,"BackpackLV5","行军背包MAX","使用蓝胖子口袋内衬同款材料，非常能装。",5,1,1,4706,"Backpack"
41,"HelmatLV1","摩托头盔","晶莹剔透，吹弹可破。",1,1,1,97,"Helmat"
42,"HelmatLV2","老钢盔","没怎么保养的头盔，爷爷传下来的。里面有个洞。",2,1,1,378,"Helmat"
43,"HelmatLV3","特警头盔","具有初级的防弹性能。",3,1,1,1183,"Helmat"
44,"HelmatLV4","SightPRO头盔","具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。",4,1,1,2551,"Helmat"
45,"HelmatLV5","SCIFI面罩","给予头部全方位的防护，科幻造型，非常的拉风。",5,1,1,4855,"Helmat"
46,"HelmatLV6","神之电焊头","古希腊掌管头盔的神打造，子弹看了会吓软。",6,1,1,8778,"Helmat"
47,"Wrench02","汽车扳手","更好用的扳手。",4,1,1,1062,"Tool"
48,"ContinerL","大扩容箱","大型扩容箱，可用作扩展藏身处。重到拿不动。",5,1,1,8578,"Continer"
49,"ContinerM","中扩容箱","中型扩容箱，可用作扩展藏身处。很重。",4,1,1,4713,"Continer"
50,"ContinerS","小扩容箱","小型扩容箱，可用作扩展藏身处。",3,1,1,2484,"Continer"
51,"Clock","闹钟","定格在了三点钟。",2,1,1,667,"Daily"
52,"Detergent","洁厕灵","一瓶洁厕灵。",1,1,1,102,"Daily"
53,"Drum1","红色大桶","一个大空桶。",3,1,1,1277,"Daily"
54,"Drum2","蓝色大桶","一个大空桶。",3,1,1,1276,"Daily"
55,"Drum3","黄色大桶","一个大空桶。",3,1,1,1238,"Daily"
56,"Drum4","金属油桶","一个大空桶，装过汽油。",4,1,1,3578,"Daily"
57,"GolfClub","高尔夫球棒","打人疼。",4,1,1,2270,"Daily"
58,"Ink","墨水","钢笔墨水。",2,1,1,269,"Daily"
59,"Pot","锅","可以用来煮食物。",2,1,1,465,"Daily"
60,"Tissue","卷纸","一卷卫生纸。",1,1,1,55,"Daily"
61,"Zippo","Cippo","Cippo打火机。",1,1,1,242,"Daily"
62,"PressionSencer","压力传感器","踩上去就能感应到。",4,1,1,541,"Electric"
63,"uPhone","uPhone手机","已经坏掉了，从外观上看不出是第几代产品。",4,1,1,1867,"Electric"
64,"Walkie_Talkie","对讲机","普通的对讲机。",3,1,1,377,"Electric"
65,"Walkie_Talkie02","军用对讲机","经过加密的军用对讲机。",4,1,1,2312,"Electric"
66,"FlashGrenade","闪光手雷","眩晕敌人。",2,1,1,205,"Explosive"
67,"Grenade","手雷","手雷。",2,1,1,300,"Explosive"
68,"Chocalate","巧克力","有人说它能减肥。",3,3,1,433,"Food"
69,"EnergyStick","能量棒","吃了就不饿了，但是会渴。",3,3,1,371,"Food"
70,"Honey","蜂蜜","很甜很甜。",3,3,1,320,"Food"
71,"Ketchup","番茄酱","酸酸甜甜的番茄酱。不好吃。",2,3,1,127,"Food"
72,"Book","书","胡扯的书。",1,1,1,449,"Information"
73,"Letter","信件","一封信件。",1,1,1,242,"Information"
74,"Key_BlueHouse","安全屋隔间钥匙","能够打开仓库区中安全屋隔间的钥匙。",3,1,1,101,"Key"
75,"AirplaneToy","飞机模型","航空公司售卖的飞机模型，做工劣质。",1,1,1,998,"Luxury"
76,"Ball","足球","气不太够的足球。",1,1,1,845,"Luxury"
77,"BicyleToy","自行车模型","精致的自行车模型。",2,1,1,1432,"Luxury"
78,"Cannon","大炮","玩具大炮。",1,1,1,1045,"Luxury"
79,"Compass","指南针","精致的指南针。",3,1,1,3070,"Luxury"
80,"Dice 2","骰子","一个外表十分正常的骰子，但是感觉有点偏坠。",2,1,1,1570,"Luxury"
81,"Dice","骰子","一个正常的骰子。",2,1,1,1195,"Luxury"
82,"Fish","玩具鱼","浓浓的塑料味。",1,1,1,895,"Luxury"
83,"Watch","怀表","银色的怀表。",4,1,1,4718,"Luxury"
84,"Egg","鸭蛋","没人要的蛋。",1,4,1,87,"Food"
85,"Heat","铝热剂","非常不易燃。",3,1,1,559,"Tool"
86,"Propane","丙烷","装满丙烷的罐子。",3,1,1,1006,"Tool"
87,"Rope","绳子","攀登用的绳子。",2,1,1,200,"Tool"
88,"Drugs","一堆药","不能吃，里面什么都有。",1,5,1,127,"Medic"
89,"Lv","输液药品","一些静脉注射用的药品。",2,1,1,192,"Medic"
90,"Broom","扫帚","普通的扫帚。",99,1,1,258,"Tool"
91,"Driver","平头螺丝刀","平头螺丝刀。",2,1,1,237,"Tool"
92,"ElectricSaw","电锯","小巧的电锯。",9,1,1,375,"Tool"
93,"GasCanL","金属桶","盛装汽油的金属桶。",5,1,1,3060,"Tool"
94,"GasCanS","塑料桶","盛装汽油的塑料桶。",4,1,1,1799,"Tool"
95,"HammerL","大锤子","装修利器。",4,1,1,2313,"Tool"
96,"HammerS","锤子","砸钉子好用。",2,1,1,459,"Tool"
97,"Lantern","煤油灯","没油了。",4,1,1,566,"Tool"
98,"Shovel","铲子","曾经有一位骑士用它打遍天下无敌手。但不算是一个好的武器。",3,1,1,459,"Tool"
99,"Telescope","望远镜","坏掉的望远镜，但镜片还是好的。",4,1,1,689,"Tool"
100,"Trap","捕兽陷阱","算是一块好废铁。",3,1,1,205,"Explosive"
101,"Wrench03","撬棍","挥舞起来可以穿透几乎所有的护甲，在物理学上非常合理。",3,1,1,282,"Tool"
102,"1_AccessoryTemplate","配件模板","可增加精确度。",9,1,1,17000,"Accessory"
103,"CowMask","奶牛面具","外表十分凶狠的奶牛头面具。",2,1,1,327,"Helmat"
104,"Hat","牛仔帽","牛仔帽。",2,1,1,167,"Helmat"
105,"CocoMilk","可可奶","带有巧克力味道的牛奶。",1,1,1,124,"Food"
106,"Soda","苏打水","清爽的苏打水。",1,1,1,102,"Food"
107,"Waterbottle","水壶","行军水壶，吨吨吨。",4,1,1,869,"Food"
108,"Whisky","威士忌","上流，但是脱水。",5,1,1,3431,"Food"
109,"Pen","钢笔","没有墨水的钢笔。",3,1,1,1368,"Daily"
110,"Scissors","剪刀","手工剪刀。",1,1,1,128,"Daily"
111,"Trophy","奖杯","金色的奖杯，有点掉漆。",4,1,1,2837,"Luxury"
112,"Mike","麦克风","卡拉OK麦克风，唱歌让人快乐。",2,1,1,355,"Electric"
113,"Radio","收音机","看起来像玩具，但确实也是个收音机。",2,1,1,482,"Electric"
114,"TOMSUNGPhone","TOMSUNG手机","TOMSUNG手机，看起来很久了。",3,1,1,1063,"Electric"
115,"Yogurt","酸奶","疯味酸奶。",3,3,1,324,"Food"
116,"Newspaper","报纸","一份报纸，有年头了。",2,1,1,347,"Information"
117,"Note","笔记","上面记着各种让人看不懂的公式。",2,1,1,761,"Information"
118,"Lipstick","口红","看起来很贵的口红，不知道是什么色号。",5,1,1,6587,"Luxury"
119,"Ring","金戒指","上面镶嵌着黄色的宝石。有点旧，但感觉价值不菲。",4,1,1,3760,"Luxury"
120,"RingToy","花花戒指","看起来像玩具，但是沉甸甸的。",1,1,1,1678,"Luxury"
121,"Robot","智能机器人","没电了。",5,1,1,5783,"Luxury"
122,"Rocket","玩具火箭","造型非常没有创意。",1,1,1,875,"Luxury"
123,"Skull","头骨饰品","不知道是什么生物的头骨。",9,1,1,675,"Luxury"
124,"Tambourine","手鼓","声音依然非常好听。",1,1,1,1265,"Luxury"
125,"Trumpet","小号","吹起来应该没问题。",4,1,1,4015,"Luxury"
126,"Xylophone","木琴","看起来音调不是很全。",1,1,1,984,"Luxury"
127,"Wheel","轮胎","打打气就能用。",3,1,1,484,"Tool"
128,"Yarn","线","缝制衣服用的线。",2,1,1,270,"Daily"
129,"Pumpkin","南瓜","真的就是个南瓜。",3,1,1,420,"Helmat"
130,"Basket","购物框","装不了多少东西。",2,1,1,176,"Daily"
131,"Cup","杯子","喝水用的杯子。",1,1,1,177,"Daily"
132,"Cake","蛋糕","不知道放了多久，但是看起来依然很好吃。",3,3,1,406,"Food"
133,"Carrot","胡萝卜","富含营养，看起来很新鲜。",1,3,1,120,"Food"
134,"Bone","骨头玩具","不知道给谁玩的。",1,1,1,780,"Luxury"
135,"Heart","心","心形的饰物。",4,1,1,2552,"Luxury"
136,"Injection","注射器","没用过的注射器。",2,3,1,295,"Medic"
137,"Injection_A","黄针","提升25%移动速度，持续120s。",3,3,1,629,"Injector"
138,"HeadLantern","头灯","让你看的更远。",3,1,1,238,"Helmat"
139,"Bullet_Template","子弹模板","子弹。",9,60,30,60,"Bullet"
140,"Bullet_AR_L_Normal","L-普通弹","制式大口径子弹。",999,180,30,4,"Bullet"
141,"Bullet_AR_L_Burn","L-燃烧弹","装填可持续燃烧的弹药，造成灼烧。有概率点燃。",999,180,30,18,"Bullet"
142,"Bullet_AR_L_Piercing3","L-穿甲弹","能够穿透一定的防护。",999,180,30,10,"Bullet"
143,"Bullet_AR_S_Normal","S-普通弹","制式小口径子弹。",999,240,30,3,"Bullet"
144,"Bullet_AR_S_Dumdums","S-达姆弹","对肉体造成更高的伤害，但更难以穿透护甲。",999,240,30,10,"Bullet"
145,"Bullet_AR_S_Burn","S-燃烧弹","装填可持续燃烧的弹药，造成灼烧。有概率点燃。",999,240,30,15,"Bullet"
146,"Bullet_SHOT_Normal","霰弹-鹿弹","打猎用的鹿弹，杀伤距离较近。",999,80,20,11,"Bullet"
153,"Quest_Letter_Explorer","探索者的信","先行来到Duckov的探索者的信件。",2,1,1,1,"Quest"
154,"Key_Dormitory103","宿舍楼103钥匙","一把宿舍楼的钥匙。也许可以打开103的门。",1,1,1,350,"Key"
155,"Key_Dormitory106","宿舍楼106钥匙","一把宿舍楼的钥匙。也许可以打开106的门。",2,1,1,578,"Key"
157,"Bullet_AR_L_Poison","L-涂毒弹","子弹表面涂抹毒药。",999,180,30,15,"Bullet"
158,"Bullet_AR_L_Piercing5","L-高级穿甲弹","能够穿透大多数防护。",999,180,30,35,"Bullet"
159,"Bullet_AR_S_Piercing2","S-穿甲弹","能够穿透较低等级的护甲。",999,240,30,8,"Bullet"
160,"Bullet_AR_S_Piercing4","S-高级穿甲弹","能够穿透更高等级的护甲。",999,240,30,18,"Bullet"
161,"Bullet_SHOT_Piranha","霰弹-食人鱼","穿甲能力弱，但对肉体造成更大伤害。",999,80,20,30,"Bullet"
162,"Bullet_SHOT_Burn","霰弹-龙息","造成大量灼烧伤害。",999,80,20,50,"Bullet"
163,"Bullet_SHOT_Piercing4","霰弹-箭形弹","有更高的穿甲等级。",999,80,20,55,"Bullet"
164,"Bullet_SHOT_Electric","霰弹-电击","电能装药，能够造成电击伤害。",999,80,20,60,"Bullet"
165,"Bullet_Sniper_Normal","狙击-普通弹","普通的狙击弹药。",999,30,10,40,"Bullet"
166,"Bullet_Sniper_Piercing3","狙击-穿甲弹","能够穿透较低等级的护甲。",999,30,10,80,"Bullet"
167,"Bullet_Sniper_Electric","狙击-电击弹","电能装药，能够造成电击伤害。",999,30,10,180,"Bullet"
168,"Bullet_Sniper_Space","狙击-空间弹","具有空间属性的狙击弹药。",999,30,10,600,"Bullet"
169,"Bullet_Sniper_Piercing5","狙击-高级穿甲弹","能够穿透大多数护甲。",999,30,10,250,"Bullet"
174,"Grip_AS_Lv_1","突击握把 Lv1","增强稳定性。",999,1,1,380,"Accessory"
175,"Grip_AS_Lv_2","突击握把 Lv2","增强稳定性。",999,1,1,900,"Accessory"
176,"Grip_AS_Lv_3","突击握把 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
177,"Grip_SP_Lv_1","快拆握把 Lv1","增强稳定性。",999,1,1,380,"Accessory"
178,"Grip_SP_Lv_2","快拆握把 Lv2","增强稳定性。",999,1,1,900,"Accessory"
179,"Grip_SP_Lv_3","快拆握把 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
180,"Grip_Verticle_Lv_1","垂直握把 Lv1","增强稳定性。",999,1,1,380,"Accessory"
181,"Grip_Verticle_Lv_2","垂直握把 Lv2","增强稳定性。",999,1,1,900,"Accessory"
182,"Grip_Verticle_Lv_3","垂直握把 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
183,"Muzzle_L_Type_1","大口径制退器 Lv.1","可增加精确度。",999,1,1,380,"Accessory"
184,"Muzzle_L_Type_2","大口径制退器 Lv.2","可增加精确度。",999,1,1,900,"Accessory"
185,"Muzzle_L_Type_3","大口径制退器 Lv.3","可增加精确度。",999,1,1,2100,"Accessory"
186,"Muzzle_Shot_Type_1","霰弹枪集束器 Lv.1","可增加精确度。",999,1,1,380,"Accessory"
187,"Muzzle_Shot_Type_2","霰弹枪集束器 Lv.2","可增加精确度。",999,1,1,900,"Accessory"
188,"Muzzle_Shot_Type_3","霰弹枪集束器 Lv.3","可增加精确度。",999,1,1,2100,"Accessory"
189,"Muzzle_Sniper_Type_1","狙击枪消音器 Lv.1","可增加精确度。",999,1,1,380,"Accessory"
190,"Muzzle_Sniper_Type_2","狙击枪消音器 Lv.2","可增加精确度。",999,1,1,900,"Accessory"
191,"Muzzle_Sniper_Type_3","狙击枪消音器 Lv.3","可增加精确度。",999,1,1,2100,"Accessory"
192,"Muzzle_S_Type_1","小口径制退器 Lv.1","可增加精确度。",999,1,1,380,"Accessory"
193,"Muzzle_S_Type_2","小口径制退器 Lv.2","可增加精确度。",999,1,1,900,"Accessory"
194,"Muzzle_S_Type_3","小口径制退器 Lv.3","可增加精确度。",999,1,1,2100,"Accessory"
195,"Scope_4X_Lv_1","4倍镜 Lv1","可增加精确度。",999,1,1,380,"Accessory"
196,"Scope_4X_Lv_2","4倍镜 Lv2","可增加精确度。",999,1,1,900,"Accessory"
197,"Scope_4X_Lv_3","4倍镜 Lv3","可增加精确度。",999,1,1,2100,"Accessory"
198,"Scope_8X_Lv_1","8倍镜 Lv1","可增加精确度。",999,1,1,380,"Accessory"
199,"Scope_8X_Lv_2","8倍镜 Lv2","可增加精确度。",999,1,1,900,"Accessory"
200,"Scope_8X_Lv_3","8倍镜 Lv3","可增加精确度。",999,1,1,2100,"Accessory"
201,"Scope_Digit_Lv_1","数字瞄具 Lv1","可增加精确度。",999,1,1,380,"Accessory"
202,"Scope_Digit_Lv_2","数字瞄具 Lv2","可增加精确度。",999,1,1,900,"Accessory"
203,"Scope_Digit_Lv_3","数字瞄具 Lv3","可增加精确度。",999,1,1,2100,"Accessory"
204,"Scope_Holo_Lv_1","全息瞄具 Lv1","可增加精确度。",999,1,1,380,"Accessory"
205,"Scope_Holo_Lv_2","全息瞄具 Lv2","可增加精确度。",999,1,1,900,"Accessory"
206,"Scope_Holo_Lv_3","全息瞄具 Lv3","可增加精确度。",999,1,1,2100,"Accessory"
207,"Scope_Long_Lv_1","快速瞄具 Lv1","可增加精确度。",999,1,1,380,"Accessory"
208,"Scope_Long_Lv_2","快速瞄具 Lv2","可增加精确度。",999,1,1,900,"Accessory"
209,"Scope_Long_Lv_3","快速瞄具 Lv3","可增加精确度。",999,1,1,2100,"Accessory"
210,"Scope_RedDot_Lv_1","红点瞄具 Lv1","可增加精确度。",999,1,1,380,"Accessory"
211,"Scope_RedDot_Lv_2","红点瞄具 Lv2","可增加精确度。",999,1,1,900,"Accessory"
212,"Scope_RedDot_Lv_3","红点瞄具 Lv3","可增加精确度。",999,1,1,2100,"Accessory"
213,"Stock_Rifle_Lv_1","步枪枪托 Lv1","增强稳定性。",999,1,1,380,"Accessory"
214,"Stock_Rifle_Lv_2","步枪枪托 Lv2","增强稳定性。",999,1,1,900,"Accessory"
215,"Stock_Rifle_Lv_3","步枪枪托 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
216,"Stock_Shot_Lv_1","霰弹枪托 Lv1","增强稳定性。",999,1,1,380,"Accessory"
217,"Stock_Shot_Lv_2","霰弹枪托 Lv2","增强稳定性。",999,1,1,900,"Accessory"
218,"Stock_Shot_Lv_3","霰弹枪托 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
219,"Stock_SMG_Lv_1","冲锋枪枪托 Lv1","增强稳定性。",999,1,1,380,"Accessory"
220,"Stock_SMG_Lv_2","冲锋枪枪托 Lv2","增强稳定性。",999,1,1,900,"Accessory"
221,"Stock_SMG_Lv_3","冲锋枪枪托 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
222,"Stock_Sniper_Lv_1","狙击枪枪托 Lv1","增强稳定性。",999,1,1,380,"Accessory"
223,"Stock_Sniper_Lv_2","狙击枪枪托 Lv2","增强稳定性。",999,1,1,900,"Accessory"
224,"Stock_Sniper_Lv_3","狙击枪枪托 Lv3","增强稳定性。",999,1,1,2100,"Accessory"
225,"Tec_Lazer_Lv_1","战术激光 Lv1","更加精准的射击。",999,1,1,380,"Accessory"
226,"Tec_Lazer_Lv_2","战术激光 Lv2","更加精准的射击。",999,1,1,900,"Accessory"
227,"Tec_Lazer_Lv_3","战术激光 Lv3","更加精准的射击。",999,1,1,2100,"Accessory"
228,"Tec_Light_Lv_1","战术手电 Lv1","照射对方头部，使其变得脆弱。",999,1,1,380,"Accessory"
229,"Tec_Light_Lv_2","战术手电 Lv2","照射对方头部，使其变得脆弱。",999,1,1,900,"Accessory"
230,"Tec_Light_Lv_3","战术手电 Lv3","照射对方头部，使其变得脆弱。",999,1,1,2100,"Accessory"
231,"Magazine_Rifle_Lv_1","大口径扩容弹匣 Lv1","增加弹药数量。",999,1,1,380,"Accessory"
232,"Magazine_Rifle_Lv_2","大口径扩容弹匣 Lv2","增加弹药数量。",999,1,1,900,"Accessory"
233,"Magazine_Rifle_Lv_3","大口径扩容弹匣 Lv3","增加弹药数量。",999,1,1,2100,"Accessory"
234,"Magazine_SMG_Lv_1","小口径扩容弹匣 Lv1","增加弹药数量。",999,1,1,380,"Accessory"
235,"Magazine_SMG_Lv_2","小口径扩容弹匣 Lv2","增加弹药数量。",999,1,1,900,"Accessory"
236,"Magazine_SMG_Lv_3","小口径扩容弹匣 Lv3","增加弹药数量。",999,1,1,2100,"Accessory"
238,"L_AK102_Lv_2","AK-103","AK-47的现代化版本，继承了其可靠性的同时，在各方面也有进一步的提升。",4,1,1,6049,"Weapon"
240,"L_AK47_Lv_2","AK-47","经典的制式步枪，威力较大，结构简单，维护方便，但后座力较大，精度一般。",3,1,1,3550,"Weapon"
242,"L_MF_Lv_2","MF","装备非常广泛的制式武器，精度高，后坐力小的同时能支持大部分配件的安装。",3,1,1,3956,"Weapon"
244,"L_RPK_Lv_2","RPK","基于AK-47设计的轻型机枪，载弹量巨大，通常用于火力支援。",5,1,1,12181,"Weapon"
246,"Sniper_VPO","VPO-101","射击精度高且有不俗的爆头伤害，虽然口径看上去是步枪，但在鸭科夫被当作狙击枪使用。",3,1,1,5086,"Weapon"
248,"Shot_Hand_Lv_2","土制猎枪","小作坊里手搓的霰弹枪，各方面的性能表现都非常一般。",1,1,1,264,"Weapon"
250,"Shot_MP155_Lv_2","MP-155","泵动式霰弹枪，虽然需要手动装填，但载弹量在霰弹枪中相当不错。",2,1,1,1703,"Weapon"
252,"S_AK74_Lv_2","AK-74U","基于AK-47进行了短管设计，因为威力下降，被鸭鸭们降格为了冲锋枪。",2,1,1,1510,"Weapon"
254,"S_GLick_Lv_2","格力克","重量轻，可靠性高，弹容量大，深受各路鸭鸭的喜欢。",2,1,1,1030,"Weapon"
256,"S_MMG_Lv_2","MMG","MF的前身，各方面都非常均衡的制式武器。",3,1,1,4242,"Weapon"
258,"S_MP7_Lv_2","MP7","射程和稳定性都相当出色的制式冲锋枪，对配件的支持也相当好。",3,1,1,4042,"Weapon"
